Country,Region,Continent
Guam,Micronesia,Oceania
Guatemala,Central America,North America
Guernsey,Northern Europe,Europe
Guinea,Western Africa,Africa
Guinea-Bissau,Western Africa,Africa
Guyana,South America,South America
Haiti,Caribbean,North America
Heard Island and McDonald Islands,Australia and New Zealand,Oceania
Holy See,Southern Europe,Europe
Honduras,Central America,North America
Hungary,Eastern Europe,Europe
Iceland,Northern Europe,Europe
India,Southern Asia,Asia
Indonesia,South-eastern Asia,Asia
Iran (Islamic Republic of),Southern Asia,Asia
Iraq,Western Asia,Asia
Ireland,Northern Europe,Europe
Isle of Man,Northern Europe,Europe
Israel,Western Asia,Asia
Italy,Southern Europe,Europe
Jamaica,Caribbean,North America
Japan,Eastern Asia,Asia
Jersey,Northern Europe,Europe
Jordan,Western Asia,Asia
Kazakhstan,Central Asia,Asia
Kenya,Eastern Africa,Africa
Kiribati,Micronesia,Oceania
Kuwait,Western Asia,Asia
Kyrgyzstan,Central Asia,Asia
Laos,South-eastern Asia,Asia
Latvia,Northern Europe,Europe
Lebanon,Western Asia,Asia
Lesotho,Southern Africa,Africa
Liberia,Western Africa,Africa
Libya,Northern Africa,Africa
Liechtenstein,Western Europe,Europe
Lithuania,Northern Europe,Europe
Luxembourg,Western Europe,Europe
Madagascar,Eastern Africa,Africa
Malawi,Eastern Africa,Africa
Malaysia,South-eastern Asia,Asia
Maldives,Southern Asia,Asia
Mali,Western Africa,Africa
Malta,Southern Europe,Europe
Marshall Islands,Micronesia,Oceania
Martinique,Caribbean,North America
Mauritania,Western Africa,Africa
Mauritius,Eastern Africa,Africa
Mayotte,Eastern Africa,Africa
Mexico,Central America,North America
Micronesia (Federated States of),Micronesia,Oceania
Monaco,Western Europe,Europe
Mongolia,Eastern Asia,Asia
Montenegro,Southern Europe,Europe
Montserrat,Caribbean,North America
Morocco,Northern Africa,Africa
Mozambique,Eastern Africa,Africa
Myanmar,South-eastern Asia,Asia
Namibia,Southern Africa,Africa
Nauru,Micronesia,Oceania
Nepal,Southern Asia,Asia
Netherlands,Western Europe,Europe
New Caledonia,Melanesia,Oceania
New Zealand,Australia and New Zealand,Oceania
Nicaragua,Central America,North America
Niger,Western Africa,Africa
Nigeria,Western Africa,Africa
Niue,Polynesia,Oceania
Norfolk Island,Australia and New Zealand,Oceania
North Macedonia,Southern Europe,Europe
Northern Mariana Islands,Micronesia,Oceania
Norway,Northern Europe,Europe
Oman,Western Asia,Asia
Pakistan,Southern Asia,Asia
Palau,Micronesia,Oceania
Panama,Central America,North America
Papua New Guinea,Melanesia,Oceania
Paraguay,South America,South America
Peru,South America,South America
Philippines,South-eastern Asia,Asia
Pitcairn,Polynesia,Oceania
Poland,Eastern Europe,Europe
Portugal,Southern Europe,Europe
United States (Puerto Rico),Caribbean,North America
Qatar,Western Asia,Asia
Republic of Korea,Eastern Asia,Asia
Republic of Moldova,Eastern Europe,Europe
Réunion,Eastern Africa,Africa
Romania,Eastern Europe,Europe
Russian Federation,Eastern Europe,Europe
Rwanda,Eastern Africa,Africa
Saint Barthélemy,Caribbean,North America
Saint Helena,Western Africa,Africa
Saint Kitts and Nevis,Caribbean,North America
Saint Lucia,Caribbean,North America
Saint Martin (French Part),Caribbean,North America
Saint Pierre and Miquelon,Northern America,North America
Saint Vincent and the Grenadines,Caribbean,North America
Samoa,Polynesia,Oceania
San Marino,Southern Europe,Europe
Sao Tome and Principe,Middle Africa,Africa
Sark,Northern Europe,Europe
Saudi Arabia,Western Asia,Asia
Senegal,Western Africa,Africa
Serbia,Southern Europe,Europe
Seychelles,Eastern Africa,Africa
Sierra Leone,Western Africa,Africa
Singapore,South-eastern Asia,Asia
Sint Maarten (Dutch part),Caribbean,North America
Slovakia,Eastern Europe,Europe
Slovenia,Southern Europe,Europe
Solomon Islands,Melanesia,Oceania
Somalia,Eastern Africa,Africa
South Africa,Southern Africa,Africa
South Georgia and the South Sandwich Islands,South America,South America
South Sudan,Eastern Africa,Africa
Spain,Southern Europe,Europe
Sri Lanka,Southern Asia,Asia
State of Palestine,Western Asia,Asia
Sudan,Northern Africa,Africa
Suriname,South America,South America
Svalbard and Jan Mayen Islands,Northern Europe,Europe
Sweden,Northern Europe,Europe
Switzerland,Western Europe,Europe
Syrian Arab Republic,Western Asia,Asia
Taiwan,Eastern Asia,Asia
Tajikistan,Central Asia,Asia
Thailand,South-eastern Asia,Asia
Timor-Leste,South-eastern Asia,Asia
Togo,Western Africa,Africa
Tokelau,Polynesia,Oceania
Tonga,Polynesia,Oceania
Trinidad and Tobago,Caribbean,North America
Tunisia,Northern Africa,Africa
Turkey,Western Asia,Asia
Turkmenistan,Central Asia,Asia
Turks and Caicos Islands,Caribbean,North America
Tuvalu,Polynesia,Oceania
Uganda,Eastern Africa,Africa
Ukraine,Eastern Europe,Europe
United Arab Emirates,Western Asia,Asia
United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe
Tanzania,Eastern Africa,Africa
United States Minor Outlying Islands,Micronesia,Oceania
United States,Northern America,North America
United States Virgin Islands,Caribbean,North America
United States (Hawaii),Northern America,North America
Uruguay,South America,South America
Uzbekistan,Central Asia,Asia
Vanuatu,Melanesia,Oceania
Venezuela (Bolivarian Republic of),South America,South America
Vietnam,South-eastern Asia,Asia
Wallis and Futuna Islands,Polynesia,Oceania
Western Sahara,Northern Africa,Africa
Yemen,Western Asia,Asia
Zambia,Eastern Africa,Africa
Zimbabwe,Eastern Africa,Africa
